query_id,analytical_intent,panel,topology_id,dataset_profile_id,sql_variant,sql_path,sql_sha256,authoritative_source_path,parameter_json,unchanged_sql_actions
q16_event_value_squared,događaji rangirani kvadratom vrijednosti,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,baseline,queries/instances/confirmatory-panel-n3/q16_event_value_squared__baseline.sql,8fad5378a13edc0c46193bff946a88b2e2e842ea5a91b184bfdc8a4df0876a72,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q16_event_value_squared__baseline__gac_fdw_dba_topk_raw__query_shape-event_value_squared__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_squared""}",increase_gac_work_mem;mitigate_remote_path_bundle
q16_event_value_squared,događaji rangirani kvadratom vrijednosti,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,regional-topk,queries/instances/confirmatory-panel-n3/q16_event_value_squared__regional-topk.sql,a53220e248accc7385be6e398e72c89426307c1b98e8636a4e306a750412e79f,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q16_event_value_squared__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_squared__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_squared""}",
q17_event_log_value,događaji rangirani logaritmom vrijednosti,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,baseline,queries/instances/confirmatory-panel-n3/q17_event_log_value__baseline.sql,da9c0d660310d73405c13f67a3af466108ab182a223b48bbaeee617c4ce558aa,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q17_event_log_value__baseline__gac_fdw_dba_topk_raw__query_shape-event_log_value__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""event_log_value""}",increase_gac_work_mem;mitigate_remote_path_bundle
q17_event_log_value,događaji rangirani logaritmom vrijednosti,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,regional-topk,queries/instances/confirmatory-panel-n3/q17_event_log_value__regional-topk.sql,7df48d3440981da2e4826691a45485aae652a21ebb4974a8cb2bfd3e8173a226,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q17_event_log_value__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_log_value__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""event_log_value""}",
q18_event_recent_high_value,noviji visokovrijedni događaji,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,baseline,queries/instances/confirmatory-panel-n3/q18_event_recent_high_value__baseline.sql,2f4ca370b4bf136f50a228ce2312a5be396ecf4a39f1ccc4ae17baeea0e6f8d3,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q18_event_recent_high_value__baseline__gac_fdw_dba_topk_raw__query_shape-event_recent_high_value__cutoff_ts-2026-06-27-00-00-00-00__limit_k-100__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-27 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_recent_high_value""}",increase_gac_work_mem;mitigate_remote_path_bundle
q18_event_recent_high_value,noviji visokovrijedni događaji,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,regional-topk,queries/instances/confirmatory-panel-n3/q18_event_recent_high_value__regional-topk.sql,156c20f0326a8bc5567b8ff6efa6de88f4f5da74fb272b5522b5faad1c46979d,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q18_event_recent_high_value__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent_high_value__cutoff_ts-2026-06-27-00-00-00-00__limit_k-100__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-27 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_recent_high_value""}",
q19_event_old_low_value,stariji niskovrijedni događaji,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,baseline,queries/instances/confirmatory-panel-n3/q19_event_old_low_value__baseline.sql,310f3771abf15b52210c258207de61a959228b5a4090ec8a93dbbb29eb321218,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q19_event_old_low_value__baseline__gac_fdw_dba_topk_raw__query_shape-event_old_low_value__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_old_low_value""}",increase_gac_work_mem;mitigate_remote_path_bundle
q19_event_old_low_value,stariji niskovrijedni događaji,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,regional-topk,queries/instances/confirmatory-panel-n3/q19_event_old_low_value__regional-topk.sql,9928348ae8b5060415b20076459d0dbc3b6a509c318b973a99eac64b7d042e16,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q19_event_old_low_value__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_old_low_value__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_old_low_value""}",
q20_event_tenant_weighted,događaji s tenant-ponderisanom vrijednošću,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,baseline,queries/instances/confirmatory-panel-n3/q20_event_tenant_weighted__baseline.sql,720096f8db4e79b191c00fe73bec69d5b59165751909d8004eb36fe5192683b1,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q20_event_tenant_weighted__baseline__gac_fdw_dba_topk_raw__query_shape-event_tenant_weighted__cutoff_ts-2026-06-30-00-00-00-00__limit_k-500__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_tenant_weighted""}",increase_gac_work_mem;mitigate_remote_path_bundle
q20_event_tenant_weighted,događaji s tenant-ponderisanom vrijednošću,confirmatory-panel-n3,eu_us_apac_gac,topology-isolation-large-n3-v1,regional-topk,queries/instances/confirmatory-panel-n3/q20_event_tenant_weighted__regional-topk.sql,3ba32bf9c52b76336ff24b22a41fc3f902a4f00763828650793d015dab8bfc11,artifacts/rendered-corpora/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q20_event_tenant_weighted__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_tenant_weighted__cutoff_ts-2026-06-30-00-00-00-00__limit_k-500__include_apac-True.sql,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_tenant_weighted""}",
