manual_case_id,logical_run_id,query_run_id,instance_id,template_id,logical_question_id,execution_strategy,expected_shape_tags,intervention_axis,dataset_id,runtime_config_id,attempt_number,expected_regions,observed_regions,observed_remote_fragment_count,observed_worker_fragment_count,worker_unavailable_plan_count,evidence_completeness,issue_codes,selection_reason,selection_seed,selection_score,review_status,link_correct,raw_main_plan_verified,raw_remote_plan_verified,raw_worker_plan_verified,sql_identity_verified,region_identity_verified,attempt_lineage_verified,reviewer,review_notes
CC-01,clean-run-v1,20260626T180822Z-clean-run-eu-us-gac-v1__pilot-skew-h--a3113b5f666a--ac_fdw_daily_rollup__lookback_days-1__min_value-100,fdw_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_daily_rollup__lookback_days-1__min_value-100,gac_fdw_daily_rollup,daily_tenant_rollup,fdw_raw,"fdw_remote_scan,remote_aggregate_candidate,coordinator_fanin",,pilot-skew-heavy-v1,default,1,eu,eu,1,32,0,1.0,,family=daily_tenant_rollup;strategy=fdw_raw;run=clean-run-v1,collector-correctness-v1,015177696fe3a9293a720f0eebf36130ff403957b83dc2390fcb3a27e16bf40f,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T180822Z-025857506da8dafb.explain.json; remote_plans=1; remote_query_texts=1; worker_plans=32; remote_roots=Custom Scan; attempt=1
CC-02,clean-run-v1,20260626T151638Z-clean-run-eu-us-gac-v1__pilot-balanc--78111fbfb0c2--ent_filter_summary__lookback_days-30__min_value-500,mr_event_filter_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-500,gac_fdw_multiregion_event_filter_summary,event_filter_summary,multiregion_union,"fdw_union_all,selective_filter,remote_pushdown_candidate",,pilot-balanced-v1,default,1,"eu,us","eu,us",2,64,0,1.0,,family=event_filter_summary;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,023bcac229e6bb593681c1851d5b98e3dd49f7a25c36578d7893baf5475728ef,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T151638Z-b237e9ec7ce6372a.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=64; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-03,clean-run-v1-region-asymmetry-skew-rerun,20260704T033057Z-clean-run-eu-us-gac-region-asymmetry--3f8dfc1d42cd--fdw_multiregion_raw_region_rollup__lookback_days-30,asymmetry_mr_raw_region_rollup__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,gac_fdw_multiregion_raw_region_rollup,event_full_scan_summary,multiregion_union,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,non_distribution_filter",dataset_region_asymmetry,pilot-region-local-skew-asymmetric-medium-v1,default,1,"eu,us","eu,us",2,64,0,1.0,,family=event_full_scan_summary;strategy=multiregion_union;run=clean-run-v1-region-asymmetry-skew-rerun,collector-correctness-v1,0fb634d57e9e4483e4c68614416f4e531bddc3a2b3c5dc469e75219ce96bbde0,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260704T033057Z-d9c6c1ff0752afc4.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=64; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-04,clean-run-v1,20260626T142957Z-clean-run-eu-us-gac-v1__pilot-balanc--4174dfa4fe66--__limit_k-250__payload_repeat-16__payload_width-512,mr_raw_wide_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-900__limit_k-250__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,event_raw_wide_sample,multiregion_union,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",,pilot-balanced-v1,default,1,"eu,us","eu,us",2,64,0,1.0,,family=event_raw_wide_sample;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,06940874dceb5f8b065f0d17a254d657109eaf2f731469310bcf0b9917093d62,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T142957Z-63cbba790a8d8eba.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=64; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-05,clean-run-v1,20260626T153136Z-clean-run-eu-us-gac-v1__pilot-balanc--1829b410ca7c--obal_user_segment_join__lookback_days-3__limit_k-50,single_global_user_default__dataset-pilot-balanced-v1__runtime-default__q07_global_user_segment_join__lookback_days-3__limit_k-50,q07_global_user_segment_join,global_user_topk,single_region_citus,"non_colocated_join,repartition_candidate,high_group_cardinality",,pilot-balanced-v1,default,1,,,0,0,0,1.0,,family=global_user_topk;strategy=single_region_citus;run=clean-run-v1,collector-correctness-v1,0039ff4b073fc6eced238da3224356aed327118fa417e52401add44ef8ace25a,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T153136Z-b39f7e82bcd8f950.explain.json; remote_plans=0; remote_query_texts=0; worker_plans=0; remote_roots=N/A; attempt=1
CC-06,clean-run-v1,20260626T185228Z-clean-run-eu-us-gac-v1__pilot-skew-h--294f89ed4c81--ulti_dimension_rollup__lookback_days-14__limit_k-25,etl_multi_dimension_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-14__limit_k-25,gac_etl_multi_dimension_rollup,multi_dimension_rollup,etl_materialized,"local_etl_read,multi_join_materialized,daily_group_by",,pilot-skew-heavy-v1,default,1,,,0,0,0,1.0,,family=multi_dimension_rollup;strategy=etl_materialized;run=clean-run-v1,collector-correctness-v1,00440bc478ba25dc8de8e3ac8990060efbc65a5c5410af22b7d6ef434a93da73,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T185228Z-b91bef4bcb8cd30d.explain.json; remote_plans=0; remote_query_texts=0; worker_plans=0; remote_roots=N/A; attempt=1
CC-07,clean-run-v1-region-asymmetry-skew-rerun,20260704T030959Z-clean-run-eu-us-gac-region-asymmetry--d35d281dedad--_tenant_id-20__us_tenant_id-10020__lookback_days-30,asymmetry_mr_tenant_point_control__dataset-pilot-region-imbalanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10020__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,multiregion_union,"fdw_union_all,tenant_filter,remote_pushdown_candidate",dataset_region_asymmetry,pilot-region-imbalanced-v1,default,1,"eu,us","eu,us",2,2,0,1.0,,family=tenant_point_rollup;strategy=multiregion_union;run=clean-run-v1-region-asymmetry-skew-rerun,collector-correctness-v1,000563c6436ee1490f340918b3b259e9851f1e56514819aaa0374a5671d69c8a,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260704T030959Z-20d0acb09d5510c7.explain.json; remote_plans=2; remote_query_texts=2; worker_plans=2; remote_roots=Custom Scan,Custom Scan; attempt=1"
CC-08,clean-run-v1,20260626T141349Z-clean-run-eu-us-gac-v1__pilot-balanc--6f6934531979--tenant_tier_left_join__lookback_days-14__limit_k-25,mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_left_join__lookback_days-14__limit_k-25,gac_fdw_multiregion_tenant_tier_left_join,tenant_tier_daily_join,multiregion_union,"fdw_remote_join,reference_join,outer_join,fdw_union_all,daily_group_by",,pilot-balanced-v1,default,1,"eu,us","eu,us",4,66,0,1.0,,family=tenant_tier_daily_join;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,02ed67d2502f34190ff54cdd40faf17acfc344c564d77cf56ccc8664251e74ee,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T141349Z-74e3792b9a4b8bf7.explain.json; remote_plans=4; remote_query_texts=4; worker_plans=66; remote_roots=Custom Scan,Custom Scan,Custom Scan,Custom Scan; attempt=1"
CC-09,clean-run-v1,20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_top_tenants__lookback_days-14__limit_k-50,gac_fdw_top_tenants,top_tenants,fdw_raw,"fdw_remote_scan,topk,final_ordering",,pilot-balanced-v1,default,1,eu,eu,1,32,0,1.0,,family=top_tenants;strategy=fdw_raw;run=clean-run-v1,collector-correctness-v1,00c2649d6f55207da3dec3f49cfe047d51c8403316dfa3c0f0e52b9113bf2306,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,main_plan=master-regimes-query-20260626T113842Z-33a77b235a2f2b2d.explain.json; remote_plans=1; remote_query_texts=1; worker_plans=32; remote_roots=Custom Scan; attempt=1
CC-10,clean-run-v1,20260626T172830Z-clean-run-eu-us-gac-v1__pilot-skew-h--196122f051e8--gion_user_segment_join__lookback_days-1__limit_k-50,mr_user_segment_default__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_user_segment_join__lookback_days-1__limit_k-50,gac_fdw_multiregion_user_segment_join,user_segment_topk,multiregion_union,"fdw_remote_join,colocated_join,fdw_union_all,topk",,pilot-skew-heavy-v1,default,1,"eu,us","eu,us",4,128,0,1.0,,family=user_segment_topk;strategy=multiregion_union;run=clean-run-v1,collector-correctness-v1,004826c080fd239dd9a2dcd8dbc56ac3f7d1ae6bccb62a5663cd140167de56c6,reviewed,True,True,True,True,True,True,True,Codex raw-artifact review,"main_plan=master-regimes-query-20260626T172830Z-9ad6a166a00475c1.explain.json; remote_plans=4; remote_query_texts=4; worker_plans=128; remote_roots=Custom Scan,Custom Scan,Custom Scan,Custom Scan; attempt=1"
