evaluation,reference_method,identity_definition,episode_id,query_id,logical_identity,topology_id,history_match_count,decision_status,predicted_action,actual_best_action,top1_correct,regret_log2,evidence_episode_ids_json
E2,logical_query_memory,logical_identity_without_topology,q01_event_value_desc::run-1,q01_event_value_desc,ad7f1beefcb86b44e6bcd60f1e092a838d67200996b3cf5a69df119b546d5ed5,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q01_event_value_desc::run-1,q01_event_value_desc,ad7f1beefcb86b44e6bcd60f1e092a838d67200996b3cf5a69df119b546d5ed5,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q01_event_value_desc::run-1,q01_event_value_desc,ad7f1beefcb86b44e6bcd60f1e092a838d67200996b3cf5a69df119b546d5ed5,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q01_event_value_desc::run-1,q01_event_value_desc,ad7f1beefcb86b44e6bcd60f1e092a838d67200996b3cf5a69df119b546d5ed5,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q02_event_value_asc::run-1,q02_event_value_asc,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,logical_query_memory,logical_identity_without_topology,q02_event_value_asc::run-1,q02_event_value_asc,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,exact_context_memory,logical_identity+topology_id,q02_event_value_asc::run-1,q02_event_value_asc,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E1,exact_context_memory,logical_identity+topology_id,q02_event_value_asc::run-1,q02_event_value_asc,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,eu_us_gac,0,identity_unseen,,mitigate_remote_path_bundle,False,,[]
E2,logical_query_memory,logical_identity_without_topology,q02_event_value_asc::run-2,q02_event_value_asc,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,eu_us_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q02_event_value_asc::run-1""]"
E2,exact_context_memory,logical_identity+topology_id,q02_event_value_asc::run-2,q02_event_value_asc,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,eu_us_gac,1,available,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,"[""q02_event_value_asc::run-1""]"
