legacy_feature,decision,v2_feature,reason,v2_family,v2_formula,v2_unit,v2_raw_domain,v2_neutral,v2_applicability,v2_null_semantics,v2_dataset_dependence,v2_topology_dependence,v2_sql_shape_dependence,v2_transform,v2_expected_response,v2_raw_display,v2_model_status
remote_path_share,REDEFINE,foreign_scan_time_to_root_ratio,sum of Foreign Scan times is not guaranteed to be a bounded share,remote_fanin_fetch,sum(main Foreign Scan actual_total_time) / main root actual_total_time,ratio,"[0,+inf)",0.0,main root timing is positive,not_applicable_or_timing_unavailable,indirect through plan and row flow,can grow when several Foreign Scan times are summed,requires a Foreign Scan path,nonnegative_log_atan,remote path dominance and WAN/fetch intervention,preserve unbounded ratio,KEEP_TRANSFORM
remote_to_final_rows_ratio,KEEP_TRANSFORM,remote_to_final_rows_ratio,useful unbounded fan-in ratio after monotone saturation,remote_fanin_fetch,"sum(remote root actual rows) / max(main final rows,1)",rows_per_final_row,"[0,+inf)",0.0,remote root rows and main final rows are available,not_applicable_without_remote_plan,not invariant when final cardinality stays fixed,numerator is summed over observed remote roots,high for scalar and Top-K final results,nonnegative_log_atan,remote fan-in before final output,preserve raw ratio,KEEP_TRANSFORM
wan_output_to_final_rows_ratio,REMOVE,global_group_merge_ratio,deterministically identical in the current implementation,regional_reduction,"WAN output rows / max(main final rows,1)",wan_rows_per_final_row,"[0,+inf)",0.0,WAN output and final rows are available,not_applicable_without_remote_output,can grow with input size for bounded final output,WAN rows are summed over observed regions,high for global aggregate and Top-K,nonnegative_log_atan,global merge or finalization pressure,preserve raw ratio,KEEP_TRANSFORM
drf_bytes_proxy,REDEFINE,regional_input_to_wan_rows_ratio,"common width proxy cancels, so the value is a row ratio",remote_fanin_fetch,worker task scan rows / WAN output rows,rows_per_wan_row,"[0,+inf)",0.0,worker scan rows and WAN output rows are positive,not_applicable_or_worker_evidence_unavailable,can grow with input size for scalar output,numerator aggregates all observed task scans,high for aggregate and selective reduction,nonnegative_log_atan,regional reduction before WAN transfer,preserve raw DRF row proxy,KEEP_TRANSFORM
global_group_merge_ratio,KEEP_TRANSFORM,global_group_merge_ratio,interpretable global merge ratio,regional_reduction,"WAN output rows / max(main final rows,1)",wan_rows_per_final_row,"[0,+inf)",0.0,WAN output and final rows are available,not_applicable_without_remote_output,can grow with input size for bounded final output,WAN rows are summed over observed regions,high for global aggregate and Top-K,nonnegative_log_atan,global merge or finalization pressure,preserve raw ratio,KEEP_TRANSFORM
temp_bytes_to_wan_bytes_ratio,REDEFINE,spill_bytes_to_wan_bytes_ratio,precise spill-byte naming,normalized_spill_pressure,temp_blocks * 8192 / WAN output bytes proxy,bytes_per_wan_byte,"[0,+inf)",0.0,WAN output bytes proxy is positive,not_applicable_without_wan_output,relative but not guaranteed invariant,temp blocks include parsed main and remote plans,blocking operators and WAN path required,nonnegative_log_atan,spill magnitude relative to transferred output,preserve raw ratio and temp blocks,KEEP_TRANSFORM
temp_blocks_per_wan_row,REMOVE,spill_bytes_to_wan_bytes_ratio,weaker unit semantics than the byte-compatible ratio,normalized_spill_pressure,temp_blocks * 8192 / WAN output bytes proxy,bytes_per_wan_byte,"[0,+inf)",0.0,WAN output bytes proxy is positive,not_applicable_without_wan_output,relative but not guaranteed invariant,temp blocks include parsed main and remote plans,blocking operators and WAN path required,nonnegative_log_atan,spill magnitude relative to transferred output,preserve raw ratio and temp blocks,KEEP_TRANSFORM
temp_blocks_per_final_row,KEEP_TRANSFORM,temp_blocks_per_final_row,captures finalization spill intensity,normalized_spill_pressure,"temp blocks / max(main final rows,1)",blocks_per_final_row,"[0,+inf)",0.0,parsed plan and final cardinality,missing_means_temp_io_unavailable,can grow for bounded final output,includes parsed main and remote temp IO,finalization and blocking operators,nonnegative_log_atan,spill-heavy finalization,preserve raw ratio,KEEP_TRANSFORM
spill_per_wan_mb,REMOVE,spill_bytes_to_wan_bytes_ratio,exact constant multiple of temp_bytes_to_wan_bytes_ratio,normalized_spill_pressure,temp_blocks * 8192 / WAN output bytes proxy,bytes_per_wan_byte,"[0,+inf)",0.0,WAN output bytes proxy is positive,not_applicable_without_wan_output,relative but not guaranteed invariant,temp blocks include parsed main and remote plans,blocking operators and WAN path required,nonnegative_log_atan,spill magnitude relative to transferred output,preserve raw ratio and temp blocks,KEEP_TRANSFORM
hash_batches_max,SPLIT,hash_batch_excess,one batch is neutral and excess magnitude should start at zero,normalized_spill_pressure,"max(hash_batches_max - 1,0)",extra_batches,"[0,+inf)",0.0,parsed hash plan or neutral absence,zero_means_no_extra_hash_batch,depends on hash input relative to memory,maximum over parsed main and remote plans,hash operator required,nonnegative_log_atan,low work_mem and oversized hash input,show hash_batches_max and excess,SPLIT
remote_region_rows_isf,REDEFINE,remote_region_rows_isf_normalized,legacy denominator excludes zero-row regions,skew_imbalance,(max(region_rows)/mean(region_rows)-1)/(n_regions-1),normalized_ratio,"[0,1]",0.0,complete row evidence for at least one observed region,not_applicable_without_region_row_distribution,invariant to uniform scaling of region rows,explicitly normalized by observed region count,query must activate multiple regional paths,bounded_share,controlled regional asymmetry,show raw ISF and normalized value,REDEFINE
worker_task_scan_rows_isf,REDEFINE,worker_task_scan_rows_isf_normalized,raw ISF upper bound changes with task count,skew_imbalance,(max(task_scan_rows)/mean(task_scan_rows)-1)/(n_tasks-1),normalized_ratio,"[0,1]",0.0,complete worker task scan rows,not_applicable_without_worker_task_scan_rows,invariant to uniform scaling of task scan rows,explicitly normalized by observed task count,distributed task execution required,bounded_share,shard or task-level scan imbalance,show raw task ISF and normalized value,REDEFINE
worker_task_scan_actual_rows_max_share,REMOVE,worker_task_scan_rows_isf_normalized,algebraically determined by task ISF and task count,skew_imbalance,(max(task_scan_rows)/mean(task_scan_rows)-1)/(n_tasks-1),normalized_ratio,"[0,1]",0.0,complete worker task scan rows,not_applicable_without_worker_task_scan_rows,invariant to uniform scaling of task scan rows,explicitly normalized by observed task count,distributed task execution required,bounded_share,shard or task-level scan imbalance,show raw task ISF and normalized value,REDEFINE
task_count_to_shard_count_ratio,KEEP_TRANSFORM,task_count_to_shard_count_ratio,explicit shard normalization,citus_topology_normalized,observed task count / configured shard count,tasks_per_shard,"[0,+inf)",0.0,task count and shard count available,not_applicable_without_citus_task_evidence,independent of row magnitude,normalized by configured shard count,"router, multi-shard and repartition differ",nonnegative_log_atan,task fan-out and repartition,show task and shard counts,KEEP_TRANSFORM
active_task_share,KEEP_TRANSFORM,active_task_share,explicit observed region-shard normalization,citus_topology_normalized,task count / (shard count * observed region count),tasks_per_region_shard_slot,"[0,+inf)",0.0,"task, shard and region counts available",not_applicable_without_citus_task_evidence,independent of row magnitude,normalized by observed region-shard slots,"router, multi-shard and repartition differ",nonnegative_log_atan,active distributed task footprint,show numerator and slot denominator,KEEP_TRANSFORM
citus_repartition_query,REDEFINE,citus_repartition_observed_v2,"the GAC plan can hide regional MapMerge execution, so the versioned flag combines main-plan and regional Citus evidence
",citus_topology_normalized,"main-plan repartition marker OR regional MapMergeJob/repartition marker present
",flag,"{0,1}",0.0,main or regional Citus plan text available,zero_only_after_main_and_regional_plan_evidence_aggregation,independent of row magnitude,Citus plan strategy observed at GAC or regional layer,non-colocated joins,binary,repartition query families,show marker and map/merge counts,KEEP_IDENTITY
worker_task_seq_scan_share,KEEP_IDENTITY,worker_task_seq_scan_share,naturally bounded access-path share,citus_topology_normalized,sequential worker scans / all classified worker scans,share,"[0,1]",0.0,worker scan type histogram available,not_applicable_without_worker_scan_types,independent of row magnitude,aggregated over observed tasks,access path and predicates,bounded_share,full-scan versus indexed access path,show scan histogram and share,KEEP_IDENTITY
