episode_id,prediction_matches,status_matches,distance_matches,scope
q01_event_value_desc::run-1,True,True,True,archived_E2
q02_event_value_asc::run-1,True,True,True,archived_E2
q02_event_value_asc::run-2,True,True,True,archived_E2
q03_event_recent::run-1,True,True,True,archived_E2
q03_event_recent::run-2,True,True,True,archived_E2
q03_event_recent::run-3,True,True,True,archived_E2
q04_event_oldest::run-1,True,True,True,archived_E2
q04_event_oldest::run-2,True,True,True,archived_E2
q04_event_oldest::run-3,True,True,True,archived_E2
q04_event_oldest::run-4,True,True,True,archived_E2
q05_event_deviation::run-1,True,True,True,archived_E2
q05_event_deviation::run-2,True,True,True,archived_E2
q05_event_deviation::run-3,True,True,True,archived_E2
q05_event_deviation::run-4,True,True,True,archived_E2
q05_event_deviation::run-5,True,True,True,archived_E2
q06_tenant_sum::run-1,True,True,True,archived_E2
q07_tenant_count::run-1,True,True,True,archived_E2
q07_tenant_count::run-2,True,True,True,archived_E2
q08_tenant_avg::run-1,True,True,True,archived_E2
q08_tenant_avg::run-2,True,True,True,archived_E2
q08_tenant_avg::run-3,True,True,True,archived_E2
q09_tenant_max::run-1,True,True,True,archived_E2
q09_tenant_max::run-2,True,True,True,archived_E2
q09_tenant_max::run-3,True,True,True,archived_E2
q09_tenant_max::run-4,True,True,True,archived_E2
q10_tenant_min::run-1,True,True,True,archived_E2
q10_tenant_min::run-2,True,True,True,archived_E2
q10_tenant_min::run-3,True,True,True,archived_E2
q10_tenant_min::run-4,True,True,True,archived_E2
q10_tenant_min::run-5,True,True,True,archived_E2
q11_tenant_high_count::run-1,True,True,True,archived_E2
q12_tenant_user_sum::run-1,True,True,True,archived_E2
q12_tenant_user_sum::run-2,True,True,True,archived_E2
q13_tenant_user_count::run-1,True,True,True,archived_E2
q13_tenant_user_count::run-2,True,True,True,archived_E2
q13_tenant_user_count::run-3,True,True,True,archived_E2
q14_tenant_day_sum::run-1,True,True,True,archived_E2
q14_tenant_day_sum::run-2,True,True,True,archived_E2
q14_tenant_day_sum::run-3,True,True,True,archived_E2
q14_tenant_day_sum::run-4,True,True,True,archived_E2
q15_tenant_day_count::run-1,True,True,True,archived_E2
q15_tenant_day_count::run-2,True,True,True,archived_E2
q15_tenant_day_count::run-3,True,True,True,archived_E2
q15_tenant_day_count::run-4,True,True,True,archived_E2
q15_tenant_day_count::run-5,True,True,True,archived_E2
phase_a::q01_event_value_desc,True,True,True,archived_E3_E4
phase_a::q02_event_value_asc,True,True,True,archived_E3_E4
phase_a::q03_event_recent,True,True,True,archived_E3_E4
phase_a::q04_event_oldest,True,True,True,archived_E3_E4
phase_a::q05_event_deviation,True,True,True,archived_E3_E4
phase_a::q06_tenant_sum,True,True,True,archived_E3_E4
phase_a::q07_tenant_count,True,True,True,archived_E3_E4
phase_a::q08_tenant_avg,True,True,True,archived_E3_E4
phase_a::q09_tenant_max,True,True,True,archived_E3_E4
phase_a::q10_tenant_min,True,True,True,archived_E3_E4
phase_a::q11_tenant_high_count,True,True,True,archived_E3_E4
phase_a::q12_tenant_user_sum,True,True,True,archived_E3_E4
phase_a::q13_tenant_user_count,True,True,True,archived_E3_E4
phase_a::q14_tenant_day_sum,True,True,True,archived_E3_E4
phase_a::q15_tenant_day_count,True,True,True,archived_E3_E4
phase_b::q01_event_value_desc,True,True,True,archived_E3_E4
phase_b::q02_event_value_asc,True,True,True,archived_E3_E4
phase_b::q03_event_recent,True,True,True,archived_E3_E4
phase_b::q04_event_oldest,True,True,True,archived_E3_E4
phase_b::q05_event_deviation,True,True,True,archived_E3_E4
phase_b::q06_tenant_sum,True,True,True,archived_E3_E4
phase_b::q07_tenant_count,True,True,True,archived_E3_E4
phase_b::q08_tenant_avg,True,True,True,archived_E3_E4
phase_b::q09_tenant_max,True,True,True,archived_E3_E4
phase_b::q10_tenant_min,True,True,True,archived_E3_E4
phase_b::q11_tenant_high_count,True,True,True,archived_E3_E4
phase_b::q12_tenant_user_sum,True,True,True,archived_E3_E4
phase_b::q13_tenant_user_count,True,True,True,archived_E3_E4
phase_b::q14_tenant_day_sum,True,True,True,archived_E3_E4
phase_b::q15_tenant_day_count,True,True,True,archived_E3_E4
