transition_id,phase,trajectory_id,logical_question_id,sequence_index,source_state_id,target_state_id,action_id,identity_mode,decision_recorded_at_utc,hypothesis_before_execution,expected_end_to_end_impact,expected_domain_directions_json,target_domains_json,result_validation_status,outcome_label,accepted,source_elapsed_median_seconds,target_elapsed_median_seconds,elapsed_log2_gain,elapsed_gain_interval_low,elapsed_gain_interval_high,noise_status,actual_runtime_direction,domain_before__remote_fdw_path,domain_after__remote_fdw_path,domain_delta__remote_fdw_path,domain_before__regional_reduction,domain_after__regional_reduction,domain_delta__regional_reduction,domain_before__gac_finalization,domain_after__gac_finalization,domain_delta__gac_finalization,domain_before__imbalance,domain_after__imbalance,domain_delta__imbalance,domain_before__disk_spill,domain_after__disk_spill,domain_delta__disk_spill,domain_before__repartition_locality,domain_after__repartition_locality,domain_delta__repartition_locality,changed_available_coordinate_count,result_validity_axis,end_to_end_effect_axis,physical_transition_axis,signal_before__edge_remote_bytes_sum,signal_after__edge_remote_bytes_sum,signal_delta__edge_remote_bytes_sum,signal_before__edge_boundary_wait_share,signal_after__edge_boundary_wait_share,signal_delta__edge_boundary_wait_share,signal_before__edge_rtt_context_median_ms_max,signal_after__edge_rtt_context_median_ms_max,signal_delta__edge_rtt_context_median_ms_max,signal_before__regional_input_to_remote_rows_ratio,signal_after__regional_input_to_remote_rows_ratio,signal_delta__regional_input_to_remote_rows_ratio,signal_before__gac_fanin_to_final_rows_ratio,signal_after__gac_fanin_to_final_rows_ratio,signal_delta__gac_fanin_to_final_rows_ratio,signal_before__gac_temp_written_per_final_row,signal_after__gac_temp_written_per_final_row,signal_delta__gac_temp_written_per_final_row,signal_before__gac_hash_batch_excess,signal_after__gac_hash_batch_excess,signal_delta__gac_hash_batch_excess,signal_before__remote_region_actual_time_cv,signal_after__remote_region_actual_time_cv,signal_delta__remote_region_actual_time_cv,signal_before__worker_task_scan_actual_rows_cv,signal_after__worker_task_scan_actual_rows_cv,signal_delta__worker_task_scan_actual_rows_cv,example_fewer_domains_and_shorter,example_more_domains_but_shorter,example_multidomain_runtime_gain,example_negative_or_no_effect,physical_change_without_resolved_runtime_gain
trajectory_join_pushdown-step-01,adaptive,trajectory_join_pushdown,user_segment_topk,1,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,manual_logical_question_link,2026-08-07T12:58:31.370433Z,"Regionalno potisnut join i agregacija smanjit ce udaljeni payload, GAC fan-in i GAC spill u odnosu na GAC-local join.",Ocekuje se jasno krace end-to-end trajanje jer se join i grupisanje izvode prije FDW granice.,"{""gac_finalization"": ""decrease"", ""regional_reduction"": ""increase"", ""remote_fdw_path"": ""decrease""}","[""remote_fdw_path"", ""regional_reduction"", ""gac_finalization""]",equivalent,mixed,true,18.55146,3.318885,2.4827621856856377,2.0614110589317285,2.614639091580875,resolved,improved,0.0,-0.0232556097908675,-0.0232556097908675,0.0,1.9999543558412152,1.9999543558412152,0.0,-1.6923174543846318,-1.6923174543846318,0.0,-0.285720436565395,-0.285720436565395,0.0,-1.9999995832776365,-1.9999995832776365,0.0,0.0,0.0,5,equivalent,positive,mixed,229801264.0,2288.0,-229798976.0,0.2662506198055187,0.0053016893460965,-0.2609489304594222,0.43,0.42,-0.01,1.0,159254.27272727274,159253.27272727274,318508.54545454547,2.0,-318506.54545454547,6672.545454545455,0.0,-6672.545454545455,31.0,,,0.3669642446320736,0.2907542549965936,-0.07620998963548,0.8059544501859157,0.3894716854948353,-0.4164827646910804,False,True,True,False,False
trajectory_sort_order_topk-step-01,adaptive,trajectory_sort_order_topk,user_value_topk,2,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,same_sql_declared_intervention,2026-08-07T12:58:31.591330Z,Povecanje iskljucivo GAC session work_mem smanjit ce GAC temp zapis i broj hash batch-eva bez promjene SQL-a ili regionalnog toka.,Ocekuje se umjereno krace ili nepromijenjeno end-to-end trajanje; glavni test je fizicki odziv GAC spill dokaza.,"{""disk_spill"": ""decrease"", ""gac_finalization"": ""decrease""}","[""gac_finalization"", ""disk_spill""]",equivalent,mixed,true,17.62415,15.808097,0.1568899744739377,0.0792964402061518,0.1815990877598412,resolved,improved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.841403071548593e-05,-3.841403071548593e-05,0.0,0.0,0.0,0.0,-0.725276831612481,-0.725276831612481,0.0,0.0,0.0,2,equivalent,positive,predominantly_favorable,162601264.0,162601264.0,0.0,0.2440286463005001,0.2649375976781243,0.0209089513776241,0.425,0.411,-0.014,1.0,1.0,0.0,29.03594,29.03594,0.0,0.65431,0.30601,-0.3482999999999999,44.0,4.0,-40.0,0.4185851417942596,0.4030077893246062,-0.0155773524696534,0.3894723191079324,0.3894723191079324,0.0,False,False,False,False,False
trajectory_join_pushdown-step-02,adaptive,trajectory_join_pushdown,user_segment_topk,3,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,same_sql_declared_intervention,2026-08-07T13:05:54.233164Z,Nakon regionalnog pushdowna dvije nezavisne FDW grane emituju mali rezultat; async_capable moze preklopiti njihovo cekanje i smanjiti preostalu udaljenu putanju.,Ocekuje se malo do umjereno skracenje trajanja samo ako plan zaista koristi asinhroni FDW dohvat.,"{""gac_finalization"": ""decrease"", ""remote_fdw_path"": ""decrease""}","[""remote_fdw_path"", ""gac_finalization""]",equivalent,mixed,true,3.318885,2.240243,0.5670434101792504,0.3398810554134945,1.1191425929638985,resolved,improved,-0.0232556097908675,-1.717638291518031,-1.6943826817271634,1.9999543558412152,1.9999550616767865,7.058355711020425e-07,-1.6923174543846318,-1.274696668752825e-05,1.6923047074179445,-0.285720436565395,-0.285720436565395,0.0,-1.9999995832776365,-1.9999995832776365,0.0,0.0,0.0,0.0,3,equivalent,positive,mixed,2288.0,2288.0,0.0,0.0053016893460965,-1.5106428954301236,-1.51594458477622,0.42,0.425,0.005,159254.27272727274,159254.27272727274,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,0.2907542549965936,0.3121769306214839,0.0214226756248903,0.3894716854948353,0.3894716854948353,0.0,True,False,False,False,False
trajectory_sort_order_topk-step-02,adaptive,trajectory_sort_order_topk,user_value_topk,4,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,manual_logical_question_link,2026-08-07T13:05:54.440187Z,"Uz zadrzani GAC work_mem=64MB regionalno grupisanje prije FDW granice smanjit ce udaljeni payload, GAC fan-in i preostali GAC spill.",Ocekuje se jasno krace end-to-end trajanje od work_mem-only stanja zbog smanjenog globalnog toka.,"{""disk_spill"": ""decrease"", ""gac_finalization"": ""decrease"", ""regional_reduction"": ""increase"", ""remote_fdw_path"": ""decrease""}","[""remote_fdw_path"", ""regional_reduction"", ""gac_finalization"", ""disk_spill""]",equivalent,mixed,true,15.808097,5.767418,1.4546662123615188,1.2770241467888634,1.5646836077573412,resolved,improved,0.0,-0.041778881543208,-0.041778881543208,0.0,1.1780487409723257,1.1780487409723257,-3.841403071548593e-05,-1.3194012924119698,-1.3193628783812543,0.0,-2.1014510186053674e-05,-2.1014510186053674e-05,-0.725276831612481,-1.9995695719528956,-1.2742927403404145,0.0,0.0,0.0,5,equivalent,positive,mixed,162601264.0,52390184.0,-110211080.0,0.2649375976781243,0.1793482211134414,-0.0855893765646829,0.411,0.4065,-0.0045,1.0,4.877178366084761,3.8771783660847614,29.03594,5.95343,-23.08251,0.30601,0.0,-0.30601,4.0,,,0.4030077893246062,0.3484643445601676,-0.0545434447644385,0.3894723191079324,0.3894723191079324,0.0,False,True,True,False,False
trajectory_sort_order_topk-step-03,adaptive,trajectory_sort_order_topk,user_value_topk,5,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,same_sql_declared_intervention,2026-08-07T13:14:22.063508Z,EU edge nosi oko dvije trecine remote payload-a nakon rewritea; dodatnih 10 ms na izolovanoj EU-to-GAC putanji treba povecati remote boundary waiting i usporiti prihvaceno stanje.,Ocekuje se duze end-to-end trajanje; ovaj namjerno nepovoljan probe provjerava da profil i rollback registruju negativnu tranziciju.,"{""remote_fdw_path"": ""increase""}","[""remote_fdw_path""]",equivalent,mixed,false,5.767418,10.800118,-0.9050495828657144,-1.0502834629012638,-0.7311228189894583,resolved,worsened,-0.041778881543208,0.6248795555764283,0.6666584371196363,1.1780487409723257,1.1596849541290952,-0.0183637868432304,-1.3194012924119698,-1.3623775198541337,-0.0429762274421638,-2.1014510186053674e-05,-2.1014510186053674e-05,0.0,-1.9995695719528956,-1.7916916292746798,0.2078779426782155,0.0,0.0,0.0,4,equivalent,negative,mixed,52390184.0,52390184.0,0.0,0.1793482211134414,0.5982863459743811,0.4189381248609397,0.4065,10.4,9.9935,4.877178366084761,4.877178366084761,0.0,5.95343,5.95343,0.0,0.0,0.03588,0.03588,,,,0.3484643445601676,0.3123241856028322,-0.0361401589573354,0.3894723191079324,0.3894723191079324,0.0,False,False,False,True,False
replay-work-mem,frozen_replay,trajectory_sort_order_topk,user_value_topk,1,replay_A_baseline,replay_B_work_mem,gac_work_mem_64mb,same_sql_declared_intervention,2026-08-07T13:31:00Z,Povecanje iskljucivo GAC session work_mem smanjit ce GAC temp zapis i broj hash batch-eva bez promjene SQL-a ili regionalnog toka.,Ocekuje se umjereno krace ili nepromijenjeno end-to-end trajanje; glavni test je fizicki odziv GAC spill dokaza.,"{""disk_spill"": ""decrease"", ""gac_finalization"": ""decrease""}","[""gac_finalization"", ""disk_spill""]",equivalent,mixed,confirmatory,19.785874,17.173692,0.2042705715461758,0.0206541179579418,0.2643454235456129,resolved,improved,0.0,0.0039182173991578,0.0039182173991578,0.0,0.0,0.0,0.0,-3.176389986708924e-05,-3.176389986708924e-05,0.0,0.0,0.0,0.0,-0.5717544543963602,-0.5717544543963602,0.0,0.0,0.0,3,equivalent,positive,mixed,162601264.0,162601264.0,0.0,0.2404138660750558,0.2564472822640881,0.0160334161890322,0.378,0.3795,0.0015,1.0,1.0,0.0,29.03594,29.03594,0.0,0.65429,0.30597,-0.34832,44.0,4.0,-40.0,0.3830078293362117,0.3608010678006313,-0.0222067615355803,0.3894723191079324,0.3894723191079324,0.0,False,False,False,False,False
replay-pushdown,frozen_replay,trajectory_sort_order_topk,user_value_topk,2,replay_B_work_mem,replay_C_pushdown,regional_pushdown_rewrite,manual_logical_question_link,2026-08-07T13:31:00Z,"Uz zadrzani GAC work_mem=64MB regionalno grupisanje prije FDW granice smanjit ce udaljeni payload, GAC fan-in i preostali GAC spill.",Ocekuje se jasno krace end-to-end trajanje od work_mem-only stanja zbog smanjenog globalnog toka.,"{""disk_spill"": ""decrease"", ""gac_finalization"": ""decrease"", ""regional_reduction"": ""increase"", ""remote_fdw_path"": ""decrease""}","[""remote_fdw_path"", ""regional_reduction"", ""gac_finalization"", ""disk_spill""]",equivalent,mixed,confirmatory,17.173692,5.720632,1.585953777257434,1.5179794033744298,1.6955998516936912,resolved,improved,0.0039182173991578,-0.0710232204847717,-0.0749414378839295,0.0,0.7860021858960297,0.7860021858960297,-3.176389986708924e-05,-0.8860774444322412,-0.8860456805323741,0.0,-2.101434652047682e-05,-2.101434652047682e-05,-0.5717544543963602,-1.1486942208919693,-0.5769397664956091,0.0,0.0,0.0,5,equivalent,positive,mixed,162601264.0,52390184.0,-110211080.0,0.2564472822640881,0.2137746516984432,-0.0426726305656448,0.3795,0.372,-0.0075,1.0,4.877178366084761,3.8771783660847614,29.03594,5.95343,-23.08251,0.30597,0.0,-0.30597,4.0,,,0.3608010678006313,0.3252313737494261,-0.0355696940512051,0.3894723191079324,0.3894723191079324,0.0,False,False,True,False,False
replay-wan-delay,frozen_replay,trajectory_sort_order_topk,user_value_topk,3,replay_C_pushdown,replay_D_wan_delay,wan_delay_10ms_probe,same_sql_declared_intervention,2026-08-07T13:31:00Z,EU edge nosi oko dvije trecine remote payload-a nakon rewritea; dodatnih 10 ms na izolovanoj EU-to-GAC putanji treba povecati remote boundary waiting i usporiti prihvaceno stanje.,Ocekuje se duze end-to-end trajanje; ovaj namjerno nepovoljan probe provjerava da profil i rollback registruju negativnu tranziciju.,"{""remote_fdw_path"": ""increase""}","[""remote_fdw_path""]",equivalent,mixed,confirmatory,5.720632,11.14006,-0.961510557027686,-1.0194586730703528,-0.911281991471916,resolved,worsened,-0.0710232204847717,0.5001530682745395,0.5711762887593113,0.7860021858960297,0.8358299510940767,0.0498277651980469,-0.8860774444322412,-0.9051031792946924,-0.0190257348624512,-2.101434652047682e-05,-2.101434652047682e-05,0.0,-1.1486942208919693,-1.1486942208919693,0.0,0.0,0.0,0.0,3,equivalent,negative,mixed,52390184.0,52390184.0,0.0,0.2137746516984432,0.5882229153474281,0.3744482636489848,0.372,10.4,10.028,4.877178366084761,4.877178366084761,0.0,5.95343,5.95343,0.0,0.0,0.0,0.0,,,,0.3252313737494261,0.3127304349866091,-0.012500938762817,0.3894723191079324,0.3894723191079324,0.0,False,False,False,True,False
aggregate-exact-fetch-size,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,1,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,same_sql_declared_intervention,2026-08-07T15:23:23.260586Z,Veci FDW fetch_size smanjit ce broj fetch ciklusa i udaljeno cekanje bez promjene payload-a ili rezultata.,improved_or_unchanged,"{""remote_fdw_path"": ""decrease""}","[""remote_fdw_path""]",equivalent,mixed,true,8.286617,7.224479,0.197889693571255,0.0548496145180175,0.6094398181372449,resolved,improved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,equivalent,positive,sparse,24000000.0,24000000.0,0.0,0.544810840800117,0.4570157242490252,-0.0877951165510917,0.3994999999999999,0.4034999999999999,0.004,1.0,1.0,0.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,,,,0.4434871985912718,0.4462754609976839,0.0027882624064121,0.3894702955439748,0.3894702955439748,0.0,,,,,
aggregate-exact-pushdown,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,2,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,manual_logical_question_link,2026-08-07T15:23:23.264092Z,Regionalni COUNT/MIN/MAX smanjit ce broj redova i bajtova koji ulaze u GAC te pomjeriti profil prema regionalnoj redukciji.,improved,"{""gac_finalization"": ""decrease"", ""regional_reduction"": ""decrease"", ""remote_fdw_path"": ""decrease""}","[""regional_reduction"", ""remote_fdw_path"", ""gac_finalization""]",equivalent,mixed,true,7.224479,0.604713,3.578571050867432,3.3778930639426514,3.7216111299206696,resolved,improved,0.0,0.0300120876684294,0.0300120876684294,0.0,1.1485662829938943,1.1485662829938943,0.0,-1.1485662829938943,-1.1485662829938943,0.0,-0.2583545399351529,-0.2583545399351529,0.0,-1.1485671624648253,-1.1485671624648253,0.0,0.0,0.0,5,equivalent,positive,mixed,24000000.0,48.0,-23999952.0,0.4570157242490252,0.0203965203486314,-0.4366192039003938,0.4034999999999999,0.412,0.0085,1.0,1500000.0,1499999.0,3000000.0,2.0,-2999998.0,0.0,0.0,0.0,,,,0.4462754609976839,0.2165999604328042,-0.2296755005648797,0.3894702955439748,0.3894702955439748,0.0,,,,,
