query_run_id,pair_id,variant,template_id,dataset_profile_id,intervention_role,mitigation_action,join_shape_id,distribution_key,join_uses_distribution_key,citus_repartition_observed_v2,remote_citus_map_merge_job_count_sum,eligibility_status,colocation_review_candidate,decision_scope,workload_wide_redistribution_safe
20260730T223245Z-pressure-raw-v1-gac__pilot-balanced---f90db82e6145--64000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,pair-d4efe84d5f7010eb826467db,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223307Z-pressure-raw-v1-gac__pilot-balanced---8dc759f0c003--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2,pair-25e985b6230c3b396eae2ff7,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223320Z-pressure-raw-v1-gac__pilot-balanced---e2cc65475bb4--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,pair-ac858153a430fc758b31efa8,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223334Z-pressure-raw-v1-gac__pilot-balanced---2f4545dd45b0--26-06-01-00-00-00-00__tenant_modulus-2__limit_k-100,pair-54d1ade38c47639f952b532f,mitigated,gac_fdw_coordinator_partial_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223347Z-pressure-raw-v1-gac__pilot-balanced---e2cc65475bb4--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,pair-ac858153a430fc758b31efa8,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223401Z-pressure-raw-v1-gac__pilot-balanced---f3de8d54d838--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-100,pair-a36c41eb897973bac8865ada,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223416Z-pressure-raw-v1-gac__pilot-balanced---ba4370c22c29--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000,pair-ca9d40d4b2d5d859815c39df,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223428Z-pressure-raw-v1-gac__pilot-balanced---2feced9ac803--26-06-01-00-00-00-00__tenant_modulus-2__limit_k-100,pair-54d1ade38c47639f952b532f,stressed,gac_fdw_coordinator_raw_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223442Z-pressure-raw-v1-gac__pilot-balanced---bccf755ca96b--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2,pair-25e985b6230c3b396eae2ff7,stressed,gac_fdw_coordinator_local_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223500Z-pressure-raw-v1-gac__pilot-balanced---5577b4bab7e5--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-50,pair-a5d92bba62abcfb74645a788,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223514Z-pressure-raw-v1-gac__pilot-balanced---a5061b4f4673--26-06-01-00-00-00-00__tenant_modulus-1__limit_k-100,pair-707d0441742b53878e4f52c2,stressed,gac_fdw_coordinator_raw_user_topk,pilot-balanced-v1,positive_case,regional_partial_aggregation,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223533Z-pressure-raw-v1-gac__pilot-balanced---ba4370c22c29--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-2000,pair-ca9d40d4b2d5d859815c39df,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223546Z-pressure-raw-v1-gac__pilot-balanced---f90db82e6145--64000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,pair-d4efe84d5f7010eb826467db,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223603Z-pressure-raw-v1-gac__pilot-balanced---d45dc10289bc--0__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-10,pair-d688968b70c5c553dccddd02,stressed,gac_fdw_coordinator_raw_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223615Z-pressure-raw-v1-gac__pilot-balanced---0156d4e5f815--00__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-5,pair-b32d60864c7576e698ea797b,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223628Z-pressure-raw-v1-gac__pilot-balanced---f9d211b9dfc8--4000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-500,pair-45c0d0eb1ef8ac1c9d460916,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223645Z-pressure-raw-v1-gac__pilot-balanced---e0d81163c4f0--__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-100,pair-db3dc5d93a5cf91231c1b304,mitigated,gac_fdw_coordinator_regional_distinct_users,pilot-balanced-v1,positive_case,regional_prededuplication,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223658Z-pressure-raw-v1-gac__pilot-balanced---92ee2f8760f7--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1,pair-a6ac895eaadb147a5fb3caab,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223711Z-pressure-raw-v1-gac__pilot-balanced---96d7704f93b2--000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-5000,pair-197f3754e8fc7f33437c3e23,mitigated,gac_fdw_coordinator_regional_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223724Z-pressure-raw-v1-gac__pilot-balanced---86bb444805ce--_cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8,pair-5bd0ed34617a188d1fb664fa,mitigated,gac_fdw_coordinator_regional_user_join,pilot-balanced-v1,positive_case,regional_join_pushdown,,tenant_id,True,False,,no_repartition_evidence,False,query_level_review_candidate,False
20260730T223737Z-pressure-raw-v1-gac__pilot-balanced---f90db82e6145--64000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,pair-d4efe84d5f7010eb826467db,stressed,gac_fdw_coordinator_raw_event_topk,pilot-balanced-v1,positive_case,regional_topk_candidates,,tenant_id,False,False,,no_repartition_evidence,False,query_level_review_candidate,False
